"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.025,3.5
"ab",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.1,3.75
"ab",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.25,4
"ab",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.5,4.25
"ab",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.75,4.5
"ab",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.9,4.75
"ab",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.975,5
"ab",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.025,1.25
"ab",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.1,1.25
"ab",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.25,1.75
"ab",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.5,2
"ab",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.75,2
"ab",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.9,2.25
"ab",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.975,3.25
"ab",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.025,0.5
"ab",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.1,0.5
"ab",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.25,0.75
"ab",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.5,1
"ab",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.75,1
"ab",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.9,1
"ab",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.975,1.75
"ab",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.025,1
"ab",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.1,2.5
"ab",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.25,3.75
"ab",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.5,4.5
"ab",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.75,5.5
"ab",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.9,6.75
"ab",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.975,9
"ab",1,"2025-10-25","2025-11-01","pct wk flu lab det","quantile",0.025,0
"ab",1,"2025-10-25","2025-11-01","pct wk flu lab det","quantile",0.1,0.25
"ab",1,"2025-10-25","2025-11-01","pct wk flu lab det","quantile",0.25,1.25
"ab",1,"2025-10-25","2025-11-01","pct wk flu lab det","quantile",0.5,2
"ab",1,"2025-10-25","2025-11-01","pct wk flu lab det","quantile",0.75,2
"ab",1,"2025-10-25","2025-11-01","pct wk flu lab det","quantile",0.9,3.25
"ab",1,"2025-10-25","2025-11-01","pct wk flu lab det","quantile",0.975,8
"ab",1,"2025-10-25","2025-11-01","pct wk rsv lab det","quantile",0.025,0
"ab",1,"2025-10-25","2025-11-01","pct wk rsv lab det","quantile",0.1,0
"ab",1,"2025-10-25","2025-11-01","pct wk rsv lab det","quantile",0.25,0.25
"ab",1,"2025-10-25","2025-11-01","pct wk rsv lab det","quantile",0.5,1
"ab",1,"2025-10-25","2025-11-01","pct wk rsv lab det","quantile",0.75,1
"ab",1,"2025-10-25","2025-11-01","pct wk rsv lab det","quantile",0.9,2
"ab",1,"2025-10-25","2025-11-01","pct wk rsv lab det","quantile",0.975,4.75
"ab",2,"2025-10-25","2025-11-08","pct wk covid lab det","quantile",0.025,0.5
"ab",2,"2025-10-25","2025-11-08","pct wk covid lab det","quantile",0.1,2
"ab",2,"2025-10-25","2025-11-08","pct wk covid lab det","quantile",0.25,3.25
"ab",2,"2025-10-25","2025-11-08","pct wk covid lab det","quantile",0.5,4.25
"ab",2,"2025-10-25","2025-11-08","pct wk covid lab det","quantile",0.75,6
"ab",2,"2025-10-25","2025-11-08","pct wk covid lab det","quantile",0.9,7.5
"ab",2,"2025-10-25","2025-11-08","pct wk covid lab det","quantile",0.975,10
"ab",2,"2025-10-25","2025-11-08","pct wk flu lab det","quantile",0.025,0
"ab",2,"2025-10-25","2025-11-08","pct wk flu lab det","quantile",0.1,0.25
"ab",2,"2025-10-25","2025-11-08","pct wk flu lab det","quantile",0.25,1.25
"ab",2,"2025-10-25","2025-11-08","pct wk flu lab det","quantile",0.5,2
"ab",2,"2025-10-25","2025-11-08","pct wk flu lab det","quantile",0.75,2.75
"ab",2,"2025-10-25","2025-11-08","pct wk flu lab det","quantile",0.9,4.25
"ab",2,"2025-10-25","2025-11-08","pct wk flu lab det","quantile",0.975,10.5
"ab",2,"2025-10-25","2025-11-08","pct wk rsv lab det","quantile",0.025,0
"ab",2,"2025-10-25","2025-11-08","pct wk rsv lab det","quantile",0.1,0
"ab",2,"2025-10-25","2025-11-08","pct wk rsv lab det","quantile",0.25,0.25
"ab",2,"2025-10-25","2025-11-08","pct wk rsv lab det","quantile",0.5,1
"ab",2,"2025-10-25","2025-11-08","pct wk rsv lab det","quantile",0.75,1
"ab",2,"2025-10-25","2025-11-08","pct wk rsv lab det","quantile",0.9,2.5
"ab",2,"2025-10-25","2025-11-08","pct wk rsv lab det","quantile",0.975,5.75
"ab",3,"2025-10-25","2025-11-15","pct wk covid lab det","quantile",0.025,0.5
"ab",3,"2025-10-25","2025-11-15","pct wk covid lab det","quantile",0.1,1.25
"ab",3,"2025-10-25","2025-11-15","pct wk covid lab det","quantile",0.25,3.25
"ab",3,"2025-10-25","2025-11-15","pct wk covid lab det","quantile",0.5,4.25
"ab",3,"2025-10-25","2025-11-15","pct wk covid lab det","quantile",0.75,6.25
"ab",3,"2025-10-25","2025-11-15","pct wk covid lab det","quantile",0.9,8
"ab",3,"2025-10-25","2025-11-15","pct wk covid lab det","quantile",0.975,10.5
"ab",3,"2025-10-25","2025-11-15","pct wk flu lab det","quantile",0.025,0
"ab",3,"2025-10-25","2025-11-15","pct wk flu lab det","quantile",0.1,0
"ab",3,"2025-10-25","2025-11-15","pct wk flu lab det","quantile",0.25,1
"ab",3,"2025-10-25","2025-11-15","pct wk flu lab det","quantile",0.5,2
"ab",3,"2025-10-25","2025-11-15","pct wk flu lab det","quantile",0.75,3
"ab",3,"2025-10-25","2025-11-15","pct wk flu lab det","quantile",0.9,5.25
"ab",3,"2025-10-25","2025-11-15","pct wk flu lab det","quantile",0.975,13.25
"ab",3,"2025-10-25","2025-11-15","pct wk rsv lab det","quantile",0.025,0
"ab",3,"2025-10-25","2025-11-15","pct wk rsv lab det","quantile",0.1,0
"ab",3,"2025-10-25","2025-11-15","pct wk rsv lab det","quantile",0.25,0.25
"ab",3,"2025-10-25","2025-11-15","pct wk rsv lab det","quantile",0.5,1
"ab",3,"2025-10-25","2025-11-15","pct wk rsv lab det","quantile",0.75,1.5
"ab",3,"2025-10-25","2025-11-15","pct wk rsv lab det","quantile",0.9,3
"ab",3,"2025-10-25","2025-11-15","pct wk rsv lab det","quantile",0.975,6.75
"atlantic",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.025,10.25
"atlantic",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.1,10.5
"atlantic",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.25,10.75
"atlantic",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.5,11
"atlantic",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.75,11.25
"atlantic",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.9,11.5
"atlantic",0,"2025-10-25","2025-10-25","pct wk covid lab det","quantile",0.975,12.25
"atlantic",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.025,0.5
"atlantic",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.1,0.5
"atlantic",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.25,0.75
"atlantic",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.5,1
"atlantic",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.75,1
"atlantic",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.9,1.25
"atlantic",0,"2025-10-25","2025-10-25","pct wk flu lab det","quantile",0.975,2
"atlantic",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.025,0
"atlantic",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.1,0
"atlantic",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.25,0
"atlantic",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.5,0
"atlantic",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.75,0
"atlantic",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.9,0.25
"atlantic",0,"2025-10-25","2025-10-25","pct wk rsv lab det","quantile",0.975,0.5
"atlantic",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.025,6
"atlantic",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.1,8.5
"atlantic",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.25,10
"atlantic",1,"2025-10-25","2025-11-01","pct wk covid lab det","quantile",0.5,11
