"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2026-01-03","2025-12-27","pct wk covid lab det","quantile",0.025,5
"ab",-1,"2026-01-03","2025-12-27","pct wk covid lab det","quantile",0.1,5
"ab",-1,"2026-01-03","2025-12-27","pct wk covid lab det","quantile",0.25,5
"ab",-1,"2026-01-03","2025-12-27","pct wk covid lab det","quantile",0.5,5
"ab",-1,"2026-01-03","2025-12-27","pct wk covid lab det","quantile",0.75,5
"ab",-1,"2026-01-03","2025-12-27","pct wk covid lab det","quantile",0.9,6
"ab",-1,"2026-01-03","2025-12-27","pct wk covid lab det","quantile",0.975,22
"ab",-1,"2026-01-03","2025-12-27","pct wk flu lab det","quantile",0.025,10
"ab",-1,"2026-01-03","2025-12-27","pct wk flu lab det","quantile",0.1,10
"ab",-1,"2026-01-03","2025-12-27","pct wk flu lab det","quantile",0.25,16
"ab",-1,"2026-01-03","2025-12-27","pct wk flu lab det","quantile",0.5,20
"ab",-1,"2026-01-03","2025-12-27","pct wk flu lab det","quantile",0.75,27
"ab",-1,"2026-01-03","2025-12-27","pct wk flu lab det","quantile",0.9,40
"ab",-1,"2026-01-03","2025-12-27","pct wk flu lab det","quantile",0.975,57
"ab",-1,"2026-01-03","2025-12-27","pct wk rsv lab det","quantile",0.025,1
"ab",-1,"2026-01-03","2025-12-27","pct wk rsv lab det","quantile",0.1,1
"ab",-1,"2026-01-03","2025-12-27","pct wk rsv lab det","quantile",0.25,2
"ab",-1,"2026-01-03","2025-12-27","pct wk rsv lab det","quantile",0.5,2
"ab",-1,"2026-01-03","2025-12-27","pct wk rsv lab det","quantile",0.75,2
"ab",-1,"2026-01-03","2025-12-27","pct wk rsv lab det","quantile",0.9,3
"ab",-1,"2026-01-03","2025-12-27","pct wk rsv lab det","quantile",0.975,4
"ab",0,"2026-01-03","2026-01-03","pct wk covid lab det","quantile",0.025,3.6
"ab",0,"2026-01-03","2026-01-03","pct wk covid lab det","quantile",0.1,3.8
"ab",0,"2026-01-03","2026-01-03","pct wk covid lab det","quantile",0.25,4
"ab",0,"2026-01-03","2026-01-03","pct wk covid lab det","quantile",0.5,4.2
"ab",0,"2026-01-03","2026-01-03","pct wk covid lab det","quantile",0.75,4.2
