"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",0,"2025-11-15","2025-11-15","pct wk covid lab det","quantile",0.025,4.5
"ab",0,"2025-11-15","2025-11-15","pct wk covid lab det","quantile",0.1,4.75
"ab",0,"2025-11-15","2025-11-15","pct wk covid lab det","quantile",0.25,5
"ab",0,"2025-11-15","2025-11-15","pct wk covid lab det","quantile",0.5,5
"ab",0,"2025-11-15","2025-11-15","pct wk covid lab det","quantile",0.75,5.25
"ab",0,"2025-11-15","2025-11-15","pct wk covid lab det","quantile",0.9,5.5
"ab",0,"2025-11-15","2025-11-15","pct wk covid lab det","quantile",0.975,5.75
"ab",0,"2025-11-15","2025-11-15","pct wk flu lab det","quantile",0.025,5.25
"ab",0,"2025-11-15","2025-11-15","pct wk flu lab det","quantile",0.1,6.25
"ab",0,"2025-11-15","2025-11-15","pct wk flu lab det","quantile",0.25,6.5
"ab",0,"2025-11-15","2025-11-15","pct wk flu lab det","quantile",0.5,6.75
"ab",0,"2025-11-15","2025-11-15","pct wk flu lab det","quantile",0.75,7
"ab",0,"2025-11-15","2025-11-15","pct wk flu lab det","quantile",0.9,7.25
"ab",0,"2025-11-15","2025-11-15","pct wk flu lab det","quantile",0.975,8.25
"ab",0,"2025-11-15","2025-11-15","pct wk rsv lab det","quantile",0.025,0.75
"ab",0,"2025-11-15","2025-11-15","pct wk rsv lab det","quantile",0.1,0.75
"ab",0,"2025-11-15","2025-11-15","pct wk rsv lab det","quantile",0.25,1
"ab",0,"2025-11-15","2025-11-15","pct wk rsv lab det","quantile",0.5,1
"ab",0,"2025-11-15","2025-11-15","pct wk rsv lab det","quantile",0.75,1
"ab",0,"2025-11-15","2025-11-15","pct wk rsv lab det","quantile",0.9,1.25
"ab",0,"2025-11-15","2025-11-15","pct wk rsv lab det","quantile",0.975,2
"ab",1,"2025-11-15","2025-11-22","pct wk covid lab det","quantile",0.025,1.25
"ab",1,"2025-11-15","2025-11-22","pct wk covid lab det","quantile",0.1,3.25
"ab",1,"2025-11-15","2025-11-22","pct wk covid lab det","quantile",0.25,4.5
"ab",1,"2025-11-15","2025-11-22","pct wk covid lab det","quantile",0.5,5.5
"ab",1,"2025-11-15","2025-11-22","pct wk covid lab det","quantile",0.75,6.25
"ab",1,"2025-11-15","2025-11-22","pct wk covid lab det","quantile",0.9,7.5
"ab",1,"2025-11-15","2025-11-22","pct wk covid lab det","quantile",0.975,10.25
"ab",1,"2025-11-15","2025-11-22","pct wk flu lab det","quantile",0.025,1.25
