"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",0,"2026-04-04","2026-04-04","pct wk covid lab det","quantile",0.025,0.75
"ab",0,"2026-04-04","2026-04-04","pct wk covid lab det","quantile",0.1,0.75
"ab",0,"2026-04-04","2026-04-04","pct wk covid lab det","quantile",0.25,1
"ab",0,"2026-04-04","2026-04-04","pct wk covid lab det","quantile",0.5,1
"ab",0,"2026-04-04","2026-04-04","pct wk covid lab det","quantile",0.75,1.25
"ab",0,"2026-04-04","2026-04-04","pct wk covid lab det","quantile",0.9,1.75
"ab",0,"2026-04-04","2026-04-04","pct wk covid lab det","quantile",0.975,1.75
"ab",0,"2026-04-04","2026-04-04","pct wk flu lab det","quantile",0.025,7.5
"ab",0,"2026-04-04","2026-04-04","pct wk flu lab det","quantile",0.1,8.5
"ab",0,"2026-04-04","2026-04-04","pct wk flu lab det","quantile",0.25,8.75
"ab",0,"2026-04-04","2026-04-04","pct wk flu lab det","quantile",0.5,9
"ab",0,"2026-04-04","2026-04-04","pct wk flu lab det","quantile",0.75,9
"ab",0,"2026-04-04","2026-04-04","pct wk flu lab det","quantile",0.9,9.25
"ab",0,"2026-04-04","2026-04-04","pct wk flu lab det","quantile",0.975,10.5
"ab",0,"2026-04-04","2026-04-04","pct wk rsv lab det","quantile",0.025,2.75
"ab",0,"2026-04-04","2026-04-04","pct wk rsv lab det","quantile",0.1,3.75
"ab",0,"2026-04-04","2026-04-04","pct wk rsv lab det","quantile",0.25,4
"ab",0,"2026-04-04","2026-04-04","pct wk rsv lab det","quantile",0.5,4
"ab",0,"2026-04-04","2026-04-04","pct wk rsv lab det","quantile",0.75,4
"ab",0,"2026-04-04","2026-04-04","pct wk rsv lab det","quantile",0.9,4.25
"ab",0,"2026-04-04","2026-04-04","pct wk rsv lab det","quantile",0.975,4.75
"ab",1,"2026-04-04","2026-04-11","pct wk covid lab det","quantile",0.025,0.25
"ab",1,"2026-04-04","2026-04-11","pct wk covid lab det","quantile",0.1,0.75
"ab",1,"2026-04-04","2026-04-11","pct wk covid lab det","quantile",0.25,1.25
"ab",1,"2026-04-04","2026-04-11","pct wk covid lab det","quantile",0.5,2
"ab",1,"2026-04-04","2026-04-11","pct wk covid lab det","quantile",0.75,2.75
"ab",1,"2026-04-04","2026-04-11","pct wk covid lab det","quantile",0.9,4.25
"ab",1,"2026-04-04","2026-04-11","pct wk covid lab det","quantile",0.975,6.75
"ab",1,"2026-04-04","2026-04-11","pct wk flu lab det","quantile",0.025,2
"ab",1,"2026-04-04","2026-04-11","pct wk flu lab det","quantile",0.1,6.75
"ab",1,"2026-04-04","2026-04-11","pct wk flu lab det","quantile",0.25,8.25
"ab",1,"2026-04-04","2026-04-11","pct wk flu lab det","quantile",0.5,9
"ab",1,"2026-04-04","2026-04-11","pct wk flu lab det","quantile",0.75,9
"ab",1,"2026-04-04","2026-04-11","pct wk flu lab det","quantile",0.9,11
"ab",1,"2026-04-04","2026-04-11","pct wk flu lab det","quantile",0.975,16.25
"ab",1,"2026-04-04","2026-04-11","pct wk rsv lab det","quantile",0.025,0.25
