"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2025-12-20","2025-12-13","pct wk covid lab det","quantile",0.025,2.04
"ab",-1,"2025-12-20","2025-12-13","pct wk covid lab det","quantile",0.1,2.72
"ab",-1,"2025-12-20","2025-12-13","pct wk covid lab det","quantile",0.25,3.4
"ab",-1,"2025-12-20","2025-12-13","pct wk covid lab det","quantile",0.5,4.3
"ab",-1,"2025-12-20","2025-12-13","pct wk covid lab det","quantile",0.75,5.22
"ab",-1,"2025-12-20","2025-12-13","pct wk covid lab det","quantile",0.9,5.86
"ab",-1,"2025-12-20","2025-12-13","pct wk covid lab det","quantile",0.975,6.38
"ab",-1,"2025-12-20","2025-12-13","pct wk flu lab det","quantile",0.025,17.1
"ab",-1,"2025-12-20","2025-12-13","pct wk flu lab det","quantile",0.1,19.42
"ab",-1,"2025-12-20","2025-12-13","pct wk flu lab det","quantile",0.25,22.98
"ab",-1,"2025-12-20","2025-12-13","pct wk flu lab det","quantile",0.5,29.58
"ab",-1,"2025-12-20","2025-12-13","pct wk flu lab det","quantile",0.75,35.78
"ab",-1,"2025-12-20","2025-12-13","pct wk flu lab det","quantile",0.9,39.78
"ab",-1,"2025-12-20","2025-12-13","pct wk flu lab det","quantile",0.975,43.78
"ab",-1,"2025-12-20","2025-12-13","pct wk rsv lab det","quantile",0.025,0.4
"ab",-1,"2025-12-20","2025-12-13","pct wk rsv lab det","quantile",0.1,0.92
"ab",-1,"2025-12-20","2025-12-13","pct wk rsv lab det","quantile",0.25,1.64
"ab",-1,"2025-12-20","2025-12-13","pct wk rsv lab det","quantile",0.5,2.2
"ab",-1,"2025-12-20","2025-12-13","pct wk rsv lab det","quantile",0.75,2.9
"ab",-1,"2025-12-20","2025-12-13","pct wk rsv lab det","quantile",0.9,3.62
"ab",-1,"2025-12-20","2025-12-13","pct wk rsv lab det","quantile",0.975,4.06
"ab",0,"2025-12-20","2025-12-20","pct wk covid lab det","quantile",0.025,2.93333333333333
"ab",0,"2025-12-20","2025-12-20","pct wk covid lab det","quantile",0.1,3.21111111111111
"ab",0,"2025-12-20","2025-12-20","pct wk covid lab det","quantile",0.25,3.65555555555556
