"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2025-11-22","2025-11-15","pct wk covid lab det","quantile",0.025,3.15
"ab",-1,"2025-11-22","2025-11-15","pct wk covid lab det","quantile",0.1,3.7
"ab",-1,"2025-11-22","2025-11-15","pct wk covid lab det","quantile",0.25,4.55
"ab",-1,"2025-11-22","2025-11-15","pct wk covid lab det","quantile",0.5,5.6
"ab",-1,"2025-11-22","2025-11-15","pct wk covid lab det","quantile",0.75,6.65
"ab",-1,"2025-11-22","2025-11-15","pct wk covid lab det","quantile",0.9,7.5
"ab",-1,"2025-11-22","2025-11-15","pct wk covid lab det","quantile",0.975,8.075
"ab",-1,"2025-11-22","2025-11-15","pct wk flu lab det","quantile",0.025,4.05
"ab",-1,"2025-11-22","2025-11-15","pct wk flu lab det","quantile",0.1,5.1
"ab",-1,"2025-11-22","2025-11-15","pct wk flu lab det","quantile",0.25,6.9
"ab",-1,"2025-11-22","2025-11-15","pct wk flu lab det","quantile",0.5,9.4
"ab",-1,"2025-11-22","2025-11-15","pct wk flu lab det","quantile",0.75,12
"ab",-1,"2025-11-22","2025-11-15","pct wk flu lab det","quantile",0.9,13.7
"ab",-1,"2025-11-22","2025-11-15","pct wk flu lab det","quantile",0.975,14.9
"ab",-1,"2025-11-22","2025-11-15","pct wk rsv lab det","quantile",0.025,1
"ab",-1,"2025-11-22","2025-11-15","pct wk rsv lab det","quantile",0.1,1
"ab",-1,"2025-11-22","2025-11-15","pct wk rsv lab det","quantile",0.25,1
"ab",-1,"2025-11-22","2025-11-15","pct wk rsv lab det","quantile",0.5,1.25
"ab",-1,"2025-11-22","2025-11-15","pct wk rsv lab det","quantile",0.75,1.5
"ab",-1,"2025-11-22","2025-11-15","pct wk rsv lab det","quantile",0.9,1.5
"ab",-1,"2025-11-22","2025-11-15","pct wk rsv lab det","quantile",0.975,1.5
"ab",0,"2025-11-22","2025-11-22","pct wk covid lab det","quantile",0.025,4.325
"ab",0,"2025-11-22","2025-11-22","pct wk covid lab det","quantile",0.1,4.5875
"ab",0,"2025-11-22","2025-11-22","pct wk covid lab det","quantile",0.25,5.075
"ab",0,"2025-11-22","2025-11-22","pct wk covid lab det","quantile",0.5,5.7125
"ab",0,"2025-11-22","2025-11-22","pct wk covid lab det","quantile",0.75,6.2375
"ab",0,"2025-11-22","2025-11-22","pct wk covid lab det","quantile",0.9,6.775
"ab",0,"2025-11-22","2025-11-22","pct wk covid lab det","quantile",0.975,9.6875
"ab",0,"2025-11-22","2025-11-22","pct wk flu lab det","quantile",0.025,6.2
