"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2026-01-31","2026-01-24","pct wk covid lab det","quantile",0.025,1.4075
"ab",-1,"2026-01-31","2026-01-24","pct wk covid lab det","quantile",0.1,1.855
"ab",-1,"2026-01-31","2026-01-24","pct wk covid lab det","quantile",0.25,2.4925
"ab",-1,"2026-01-31","2026-01-24","pct wk covid lab det","quantile",0.5,3.4375
"ab",-1,"2026-01-31","2026-01-24","pct wk covid lab det","quantile",0.75,4.3075
"ab",-1,"2026-01-31","2026-01-24","pct wk covid lab det","quantile",0.9,4.995
"ab",-1,"2026-01-31","2026-01-24","pct wk covid lab det","quantile",0.975,5.5925
"ab",-1,"2026-01-31","2026-01-24","pct wk flu lab det","quantile",0.025,1.335
"ab",-1,"2026-01-31","2026-01-24","pct wk flu lab det","quantile",0.1,1.4425
"ab",-1,"2026-01-31","2026-01-24","pct wk flu lab det","quantile",0.25,3.54
"ab",-1,"2026-01-31","2026-01-24","pct wk flu lab det","quantile",0.5,6.495
"ab",-1,"2026-01-31","2026-01-24","pct wk flu lab det","quantile",0.75,9.45
"ab",-1,"2026-01-31","2026-01-24","pct wk flu lab det","quantile",0.9,11.6975
"ab",-1,"2026-01-31","2026-01-24","pct wk flu lab det","quantile",0.975,13.755
"ab",-1,"2026-01-31","2026-01-24","pct wk rsv lab det","quantile",0.025,4.24
"ab",-1,"2026-01-31","2026-01-24","pct wk rsv lab det","quantile",0.1,4.75
"ab",-1,"2026-01-31","2026-01-24","pct wk rsv lab det","quantile",0.25,5.925
"ab",-1,"2026-01-31","2026-01-24","pct wk rsv lab det","quantile",0.5,7.485
"ab",-1,"2026-01-31","2026-01-24","pct wk rsv lab det","quantile",0.75,9.245
"ab",-1,"2026-01-31","2026-01-24","pct wk rsv lab det","quantile",0.9,10.245
"ab",-1,"2026-01-31","2026-01-24","pct wk rsv lab det","quantile",0.975,11.055
"ab",0,"2026-01-31","2026-01-31","pct wk covid lab det","quantile",0.025,2.40625
"ab",0,"2026-01-31","2026-01-31","pct wk covid lab det","quantile",0.1,2.62875
"ab",0,"2026-01-31","2026-01-31","pct wk covid lab det","quantile",0.25,3.23
"ab",0,"2026-01-31","2026-01-31","pct wk covid lab det","quantile",0.5,3.82625
"ab",0,"2026-01-31","2026-01-31","pct wk covid lab det","quantile",0.75,4.16
"ab",0,"2026-01-31","2026-01-31","pct wk covid lab det","quantile",0.9,4.62375
"ab",0,"2026-01-31","2026-01-31","pct wk covid lab det","quantile",0.975,5.13375
"ab",0,"2026-01-31","2026-01-31","pct wk flu lab det","quantile",0.025,2.8
"ab",0,"2026-01-31","2026-01-31","pct wk flu lab det","quantile",0.1,3.52625
"ab",0,"2026-01-31","2026-01-31","pct wk flu lab det","quantile",0.25,4.36625
"ab",0,"2026-01-31","2026-01-31","pct wk flu lab det","quantile",0.5,5.84875
"ab",0,"2026-01-31","2026-01-31","pct wk flu lab det","quantile",0.75,7.015
"ab",0,"2026-01-31","2026-01-31","pct wk flu lab det","quantile",0.9,8.0225
"ab",0,"2026-01-31","2026-01-31","pct wk flu lab det","quantile",0.975,9.51625
"ab",0,"2026-01-31","2026-01-31","pct wk rsv lab det","quantile",0.025,5.99375
"ab",0,"2026-01-31","2026-01-31","pct wk rsv lab det","quantile",0.1,6.8325
"ab",0,"2026-01-31","2026-01-31","pct wk rsv lab det","quantile",0.25,7.64875
"ab",0,"2026-01-31","2026-01-31","pct wk rsv lab det","quantile",0.5,8.4625
"ab",0,"2026-01-31","2026-01-31","pct wk rsv lab det","quantile",0.75,9.4625
"ab",0,"2026-01-31","2026-01-31","pct wk rsv lab det","quantile",0.9,10.15375
"ab",0,"2026-01-31","2026-01-31","pct wk rsv lab det","quantile",0.975,10.88125
"ab",1,"2026-01-31","2026-02-07","pct wk covid lab det","quantile",0.025,0.95625
"ab",1,"2026-01-31","2026-02-07","pct wk covid lab det","quantile",0.1,1.725
"ab",1,"2026-01-31","2026-02-07","pct wk covid lab det","quantile",0.25,2.70875
"ab",1,"2026-01-31","2026-02-07","pct wk covid lab det","quantile",0.5,3.575
"ab",1,"2026-01-31","2026-02-07","pct wk covid lab det","quantile",0.75,4.455
"ab",1,"2026-01-31","2026-02-07","pct wk covid lab det","quantile",0.9,5.4375
"ab",1,"2026-01-31","2026-02-07","pct wk covid lab det","quantile",0.975,6.85625
"ab",1,"2026-01-31","2026-02-07","pct wk flu lab det","quantile",0.025,0.125
"ab",1,"2026-01-31","2026-02-07","pct wk flu lab det","quantile",0.1,1.6975
"ab",1,"2026-01-31","2026-02-07","pct wk flu lab det","quantile",0.25,3.23625
"ab",1,"2026-01-31","2026-02-07","pct wk flu lab det","quantile",0.5,4.715
"ab",1,"2026-01-31","2026-02-07","pct wk flu lab det","quantile",0.75,6.1125
"ab",1,"2026-01-31","2026-02-07","pct wk flu lab det","quantile",0.9,7.795
"ab",1,"2026-01-31","2026-02-07","pct wk flu lab det","quantile",0.975,10.94375
"ab",1,"2026-01-31","2026-02-07","pct wk rsv lab det","quantile",0.025,4.41375
"ab",1,"2026-01-31","2026-02-07","pct wk rsv lab det","quantile",0.1,6.12875
"ab",1,"2026-01-31","2026-02-07","pct wk rsv lab det","quantile",0.25,7.055
"ab",1,"2026-01-31","2026-02-07","pct wk rsv lab det","quantile",0.5,8.39375
"ab",1,"2026-01-31","2026-02-07","pct wk rsv lab det","quantile",0.75,9.38125
"ab",1,"2026-01-31","2026-02-07","pct wk rsv lab det","quantile",0.9,10.58375
"ab",1,"2026-01-31","2026-02-07","pct wk rsv lab det","quantile",0.975,12.34875
"ab",2,"2026-01-31","2026-02-14","pct wk covid lab det","quantile",0.025,0.58125
"ab",2,"2026-01-31","2026-02-14","pct wk covid lab det","quantile",0.1,1.34625
"ab",2,"2026-01-31","2026-02-14","pct wk covid lab det","quantile",0.25,2.47375
"ab",2,"2026-01-31","2026-02-14","pct wk covid lab det","quantile",0.5,3.61125
"ab",2,"2026-01-31","2026-02-14","pct wk covid lab det","quantile",0.75,4.5
